text	label
0	way plug us unless go converter	0
1	good case excellent value	1
2	great jawbone	1
3	tie charger conversation last minutesmajor problems	0
4	mic great	1
5	jiggle plug get line right get decent volume	0
6	several dozen several hundred contact imagine fun send one one	0
7	razr owneryou must	1
8	needless say waste money	0
9	waste money time	0
10	sound quality great	1
11	impressed go original battery extended battery	1
12	two seperate mere ft start notice excessive static garbled sound headset	0
13	good quality though	1
14	design odd ear clip comfortable	0
15	highly recommend one blue tooth phone	1
16	advise everyone fool	0
17	far good	1
18	work great	1
19	click place way make wonder long mechanism would last	0
20	go motorolas website follow direction could get pair	0
21	buy use kindle fire absolutely love	1
22	commercial misleading	0
23	yet run new battery two bar three day without charge	1
24	buy mother problem battery	0
25	great pocket pc phone combination	1
26	phone month say good mobile phone	1
27	think instruction provide helpful	0
28	people could hear talk pull earphone talk phone	0
29	hold charge	0
30	simple little phone use breakage unacceptible	0
31	product ideal people like whose ear sensitive	1
32	unusable move car freeway speed	0
33	two year leave contract hate phone	0
34	car charger well ac charger include make sure never run juicehighy recommend	1
35	need least min get phone book time first turn phonebattery life short	0
36	keep well	1
37	poor talk time performance	0
38	case great work fine	1
39	worthless product	0
40	great camera pic nice clear great picture quality	1
41	impress product	0
42	nice headset price right	1
43	hear garbage audio	0
44	excellent bluetooth headset	1
45	feature want	1
46	right mind go buy battery	0
47	arguing verizon regard dropped call return phone two day	0
48	case seem well make	1
49	disappoint battery	0
50	loud enough turn like	0
51	good protection make phone bulky	1
52	usable keyboard actually turn pda realworld useful machine instead neat gadget	1
53	phone pretty sturdy never large problem	1
54	love thing	1
55	everything fine reasonable price ie	1
56	disappointed	0
57	even drop phone stream submerge second still work great	1
58	happy complaint one regard sound quality end	1
59	button bad	0
60	essentially forget microsofts tech support	0
61	really recommend faceplate since look nice elegant cool	1
62	headphone great find think perhaps good purchase make last several year seriously	1
63	buy different phone	0
64	hold phone particular angle party hear clearly	0
65	one big drawback player button phone front cover let pause skip song lock second	0
66	week later activate suddenly die	0
67	feel comfortable headset wear glass get way sometimes	1
68	great ipods	1
69	device great several	1
70	mic work	0
71	even bmw series fairly quiet trouble hear person say	0
72	great choice	1
73	nice docking station home work	1
74	beautiful phone	1
75	love product	1
76	do buy advertise	0
77	great little item	1
78	love phone handy lot feature	1
79	purchase within day longer work	0
80	wear everyday hold well	1
81	good bargain	0
82	well package arrive time work intend	1
83	battery run quickly	0
84	item work great break month use	0
85	headset easy use everyone love	1
86	phone work great	1
87	construction headset poor	0
88	product excellent work better verizon one boy cheap	1
89	phone load super	1
90	product cost much one expect work far better great ease thing	0
91	make sturdy	1
92	work great	1
93	ear bud play music one ear	0
94	waste money	0
95	will order	1
96	plan use car forget	0
97	find product waaay big	0
98	good find far try bluetooth one good quality listener well ease use	1
99	disappointed decision	0
100	integrate seamlessly motorola razr phone	1
